season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,campbell,Campbell,Big South Conference,0.5,0.4643,0.4998,0.475
2018,charleston-southern,Charleston Southern,Big South Conference,0.3548,0.4804,0.4998,0.4862
2018,longwood,Longwood,Big South Conference,0.2333,0.4939,0.4998,0.4957
2018,winthrop,Winthrop,Big South Conference,0.1,0.5087,0.4998,0.5061
2018,quinnipiac,Quinnipiac,Metro Atlantic Athletic Conference,0.8235,0.3716,0.4998,0.4101
2018,marist,Marist,Metro Atlantic Athletic Conference,0.5882,0.3951,0.4998,0.4266
2018,siena,Siena,Metro Atlantic Athletic Conference,0.5484,0.3991,0.4998,0.4293
2018,rider,Rider,Metro Atlantic Athletic Conference,0.4516,0.4088,0.4998,0.4361
2018,fairfield,Fairfield,Metro Atlantic Athletic Conference,0.4333,0.4106,0.4998,0.4374
2018,manhattan,Manhattan,Metro Atlantic Athletic Conference,0.4194,0.412,0.4998,0.4384
2018,niagara,Niagara,Metro Atlantic Athletic Conference,0.4194,0.412,0.4998,0.4384
2018,canisius,Canisius,Metro Atlantic Athletic Conference,0.3333,0.4206,0.4998,0.4444
2018,monmouth,Monmouth,Metro Atlantic Athletic Conference,0.3226,0.4217,0.4998,0.4452
2018,iona,Iona,Metro Atlantic Athletic Conference,0.0667,0.4473,0.4998,0.4631
2018,saint-peters,Saint Peter's,Metro Atlantic Athletic Conference,0.1333,0.4406,0.4998,0.4584
2018,lamar,Lamar,Southland Conference,0.7333,0.4427,0.4998,0.4598
2018,stephen-f-austin,Stephen F. Austin,Southland Conference,0.7812,0.4387,0.4998,0.457
2018,central-arkansas,Central Arkansas,Southland Conference,0.7143,0.4443,0.4998,0.461
2018,texas-am-corpus-christi,Texas A&M-Corpus Christi,Southland Conference,0.6129,0.4527,0.4998,0.4669
2018,nicholls-state,Nicholls State,Southland Conference,0.5758,0.4558,0.4998,0.469
2018,new-orleans,New Orleans,Southland Conference,0.5,0.4622,0.4998,0.4735
2018,abilene-christian,Abilene Christian,Southland Conference,0.5333,0.4594,0.4998,0.4715
2018,mcneese-state,McNeese,Southland Conference,0.4,0.4705,0.4998,0.4793
2018,southeastern-louisiana,Southeastern Louisiana,Southland Conference,0.2759,0.4808,0.4998,0.4865
2018,houston-baptist,Houston Christian,Southland Conference,0.3571,0.4741,0.4998,0.4818
2018,incarnate-word,Incarnate Word,Southland Conference,0.1724,0.4894,0.4998,0.4926
2018,northwestern-state,Northwestern State,Southland Conference,0.2414,0.4837,0.4998,0.4885
2018,sam-houston-state,Sam Houston,Southland Conference,0.1481,0.4915,0.4998,0.494
